Name,Publisher,Platform,Genre,Release_Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
12Riven: The Psi-Climinal of Integral,CyberFront,PS2,Adventure,2008.0,0.0,0.0,0.04,0.0
15 Days,DTP Entertainment,PC,Adventure,2009.0,0.0,0.01,0.0,0.0
1701 A.D.,Deep Silver,PC,Simulation,2006.0,0.0,0.25,0.0,0.04
18 Wheeler: American Pro Trucker,Acclaim Entertainment,GC,Racing,2002.0,0.09,0.02,0.0,0.0
18 Wheeler: American Pro Trucker,Acclaim Entertainment,PS2,Racing,2001.0,0.2,0.15,0.0,0.05
18 Wheels of Steel: Extreme Trucker,Rondomedia,PC,Racing,2009.0,0.0,0.02,0.0,0.0
18 Wheels of Steel: Extreme Trucker 2,Rondomedia,PC,Racing,2011.0,0.08,0.02,0.0,0.01
187: Ride or Die,Ubisoft,PS2,Racing,2005.0,0.07,0.06,0.0,0.02
187: Ride or Die,Ubisoft,XB,Racing,2005.0,0.05,0.01,0.0,0.0
1942,Capcom,NES,Shooter,1985.0,0.65,0.14,0.21,0.0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,THQ,GBA,Racing,2005.0,0.09,0.03,0.0,0.0
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,THQ,GBA,Action,2007.0,1.26,0.47,0.0,0.03
2 Games in 1: Disney Princess & The Lion King,THQ,GBA,Misc,2004.0,1.25,0.46,0.0,0.03
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,THQ,GBA,Action,2005.0,0.22,0.08,0.0,0.01
2 Games in 1: Sonic Advance & ChuChu Rocket!,THQ,GBA,Misc,2005.0,1.31,0.49,0.0,0.03
2 Games in 1: Sonic Battle & ChuChu Rocket!,THQ,GBA,Misc,2005.0,0.44,0.16,0.0,0.01
2 Games in 1: Sonic Pinball Party & Columns Crown,Sega,GBA,Misc,2005.0,0.04,0.02,0.0,0.0
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,THQ,GBA,Platform,2005.0,0.33,0.12,0.0,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Sega,XB,Misc,2004.0,0.4,0.11,0.0,0.02
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Ubisoft,X360,Misc,2013.0,0.09,0.01,0.0,0.01
2-in-1 Game Pack: Spider-Man & Spider-Man 2,Activision,GBA,Platform,2005.0,0.06,0.02,0.0,0.0
2002 FIFA World Cup,Electronic Arts,GC,Sports,2002.0,0.04,0.01,0.0,0.0
2002 FIFA World Cup,Electronic Arts,PS2,Sports,2002.0,0.21,0.17,0.16,0.06
2002 FIFA World Cup,Electronic Arts,XB,Sports,2002.0,0.14,0.04,0.0,0.01
2010 FIFA World Cup South Africa,Electronic Arts,PS3,Sports,2010.0,0.3,0.64,0.07,0.22
2010 FIFA World Cup South Africa,Electronic Arts,PSP,Sports,2010.0,0.09,0.22,0.03,0.12
2010 FIFA World Cup South Africa,Electronic Arts,Wii,Sports,2010.0,0.23,0.15,0.01,0.04
2010 FIFA World Cup South Africa,Electronic Arts,X360,Sports,2010.0,0.32,0.42,0.02,0.09
2014 FIFA World Cup Brazil,Electronic Arts,PS3,Sports,2014.0,0.15,0.36,0.01,0.09
2014 FIFA World Cup Brazil,Electronic Arts,X360,Sports,2014.0,0.15,0.25,0.0,0.03
24: The Game,Sony Computer Entertainment,PS2,Adventure,2006.0,0.15,0.12,0.0,0.04
25 to Life,Eidos Interactive,PS2,Shooter,2006.0,0.35,0.01,0.0,0.06
25 to Life,Eidos Interactive,XB,Shooter,2006.0,0.12,0.04,0.0,0.01
2Xtreme,Sony Computer Entertainment,PS,Sports,1996.0,1.15,0.2,0.0,0.05
"3 in 1: Solitaire, Mahjong & Tangram",Deep Silver,DS,Misc,2010.0,0.0,0.07,0.0,0.01
300: March to Glory,Warner Bros. Interactive Entertainment,PSP,Action,2007.0,0.27,0.08,0.0,0.07
3D Baseball,BMG Interactive Entertainment,PS,Sports,1996.0,0.02,0.01,0.0,0.0
3D Dot Game Heroes,SouthPeak Games,PS3,Role-Playing,2009.0,0.36,0.11,0.03,0.07
3D Lemmings,Psygnosis,PS,Puzzle,1995.0,0.03,0.02,0.0,0.0
3D Tank Warfare Simulator Panzer Front,Avalon Interactive,PS,Simulation,1999.0,0.06,0.04,0.0,0.01
3DS Classic Collection,Sega,3DS,Misc,2016.0,0.03,0.0,0.0,0.0
3Xtreme,989 Studios,PS,Action,1999.0,0.5,0.34,0.0,0.06
3rd Super Robot Wars Z Jigoku Hen,Namco Bandai Games,PS3,Role-Playing,2014.0,0.0,0.0,0.23,0.0
3rd Super Robot Wars Z Jigoku Hen,Namco Bandai Games,PSV,Role-Playing,2014.0,0.0,0.0,0.19,0.0
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,PS3,Action,2015.0,0.0,0.0,0.15,0.0
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,PSV,Action,2015.0,0.0,0.0,0.19,0.0
4 Elements,Mastertronic,PC,Puzzle,2009.0,0.0,0.04,0.0,0.01
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,Atari,DS,Misc,2005.0,0.1,0.0,0.0,0.01
4 Nin uchi Mahjong,Nintendo,NES,Misc,1984.0,0.0,0.0,1.45,0.0
40 Winks,GT Interactive,PS,Platform,1999.0,0.17,0.12,0.0,0.02
428: Fuusa Sareta Shibuya de,Sega,Wii,Adventure,2008.0,0.0,0.0,0.13,0.0
428: Fuusa Sareta Shibuya de,Spike,PS3,Adventure,2009.0,0.0,0.0,0.02,0.0
428: Fuusa Sareta Shibuya de,Spike,PSP,Adventure,2009.0,0.0,0.0,0.04,0.0
4x4 EVO 2,Gathering of Developers,XB,Racing,2001.0,0.18,0.05,0.0,0.01
4x4 EVO 2,Vivendi Games,GC,Racing,2002.0,0.11,0.03,0.0,0.0
4x4 Evolution,Gathering of Developers,PS2,Racing,2001.0,0.16,0.12,0.0,0.04
50 Cent: Blood on the Sand,THQ,PS3,Shooter,2009.0,0.1,0.06,0.01,0.03
50 Cent: Blood on the Sand,THQ,X360,Shooter,2009.0,0.12,0.07,0.0,0.02
50 Cent: Bulletproof,Vivendi Games,PS2,Action,2005.0,0.85,0.76,0.0,0.16
50 Cent: Bulletproof,Vivendi Games,PSP,Action,2006.0,0.08,0.0,0.0,0.01
50 Cent: Bulletproof,Vivendi Games,XB,Action,2005.0,0.33,0.1,0.0,0.02
50 Classic Games,Avanquest Software,3DS,Misc,2012.0,0.0,0.01,0.0,0.0
50 Classic Games,Destineer,DS,Misc,2009.0,0.5,0.0,0.0,0.04
64 de Hakken! Tamagotchi Minna de Tamagotchi World,Namco Bandai Games,N64,Misc,1997.0,0.0,0.0,0.22,0.0
7 Days to Die,Telltale Games,PS4,Action,2016.0,0.04,0.08,0.0,0.02
7 Days to Die,Telltale Games,XOne,Action,2016.0,0.03,0.02,0.0,0.0
7 Roses: A Darkness Rises,Avanquest Software,PC,Misc,2015.0,0.0,0.02,0.0,0.0
7 Wonders II,Rondomedia,DS,Puzzle,2009.0,0.13,0.15,0.0,0.03
7 Wonders of the Ancient World,Funsta,DS,Puzzle,2007.0,0.1,0.01,0.0,0.01
7 Wonders of the Ancient World,Mumbo Jumbo,PSP,Puzzle,2007.0,0.07,0.0,0.0,0.01
7 Wonders: Treasures of Seven,Avanquest,DS,Puzzle,2011.0,0.01,0.02,0.0,0.0
7th Dragon,Sega,DS,Role-Playing,2009.0,0.0,0.0,0.14,0.0
7th Dragon 2020,Sega,PSP,Role-Playing,2011.0,0.0,0.0,0.2,0.0
7th Dragon 2020-II,Sega,PSP,Role-Playing,2013.0,0.0,0.0,0.13,0.0
7th Dragon III Code: VFD,Sega,3DS,Role-Playing,2015.0,0.04,0.0,0.12,0.0
99 no Namida,Namco Bandai Games,DS,Adventure,2008.0,0.0,0.0,0.04,0.0
"999: Nine Hours, Nine Persons, Nine Doors",ChunSoft,DS,Adventure,2009.0,0.31,0.0,0.03,0.02
A Boy and His Blob,Majesco Entertainment,Wii,Platform,2009.0,0.18,0.01,0.0,0.01
A Bug's Life,Activision,N64,Platform,1998.0,0.49,0.13,0.0,0.01
A Bug's Life,Sony Computer Entertainment,PS,Platform,1998.0,1.96,0.72,0.0,0.11
A Collection of Activision Classic Games for the Atari 2600,Activision,PS,Misc,1998.0,0.76,0.52,0.0,0.09
A Collection of Classic Games from the Intellivision,Activision,PS,Misc,1999.0,0.17,0.12,0.0,0.02
A Game of Thrones: Genesis,Focus Home Interactive,PC,Strategy,2011.0,0.0,0.03,0.0,0.01
A Good Librarian Like a Good Shepherd: Library Party,Kaga Create,PSV,Action,2015.0,0.0,0.0,0.03,0.0
A New Beginning,Deep Silver,PC,Adventure,2010.0,0.0,0.05,0.0,0.01
A Ressha de Gyoukou 2001,ArtDink,PS2,Simulation,2001.0,0.0,0.0,0.03,0.0
A Ressha de Ikou DS,ArtDink,DS,Simulation,2009.0,0.0,0.0,0.04,0.0
A Vampyre Story,Crimson Cow,PC,Adventure,2008.0,0.0,0.01,0.0,0.0
A Witch's Tale,Nippon Ichi Software,DS,Role-Playing,2009.0,0.08,0.0,0.03,0.01
A llI S.V.: A Ressha de Gyoukou 3 Super Version,Pack-In-Video,SNES,Simulation,1995.0,0.0,0.0,0.06,0.0
A-Train,Sony Computer Entertainment,PS,Simulation,1995.0,0.02,0.01,0.04,0.01
A-Train 6,Midas Interactive Entertainment,PS2,Strategy,2000.0,0.0,0.0,0.06,0.0
A-Train: City Simulator,ArtDink,3DS,Simulation,2014.0,0.0,0.0,0.06,0.0
A. IV Evolution: A Ressha de Ikou 4,ArtDink,PS,Strategy,1994.0,0.0,0.0,0.24,0.02
A.C.E.: Another Century's Episode,Banpresto,PS2,Simulation,2005.0,0.0,0.0,0.26,0.0
A.C.E.: Another Century's Episode 2,Banpresto,PS2,Simulation,2006.0,0.0,0.0,0.18,0.0
A.C.E.: Another Century's Episode 3: The Final,Banpresto,PS2,Simulation,2007.0,0.0,0.0,0.26,0.0
A.C.E.: Another Century's Episode Portable,Namco Bandai Games,PSP,Simulation,2011.0,0.0,0.0,0.12,0.0
A.C.E.: Another Century's Episode R,Namco Bandai Games,PS3,Simulation,2010.0,0.0,0.0,0.26,0.0
ABBA: You Can Dance,Ubisoft,Wii,Misc,2011.0,0.18,0.49,0.0,0.1
AC/DC LIVE: Rock Band Track Pack,MTV Games,PS2,Misc,2008.0,0.08,0.06,0.0,0.02
AC/DC LIVE: Rock Band Track Pack,MTV Games,PS3,Misc,2008.0,0.21,0.01,0.0,0.02
AC/DC LIVE: Rock Band Track Pack,MTV Games,Wii,Misc,2008.0,0.24,0.0,0.0,0.02
AC/DC LIVE: Rock Band Track Pack,MTV Games,X360,Misc,2008.0,0.21,0.0,0.0,0.02
AIR,Prototype,PSP,Adventure,2007.0,0.0,0.0,0.02,0.0
AKB1/149: Love Election,Namco Bandai Games,PS3,Adventure,2013.0,0.0,0.0,0.08,0.0
AKB1/149: Love Election,Namco Bandai Games,PSP,Adventure,2012.0,0.0,0.0,0.23,0.0
AKB1/149: Love Election,Namco Bandai Games,PSV,Adventure,2012.0,0.0,0.0,0.07,0.0
AKB1/48: Idol to Guam de Koishitara...,Namco Bandai Games,PSP,Misc,2011.0,0.0,0.0,0.4,0.0
AKB1/48: Idol to Koishitara...,Namco Bandai Games,PSP,Misc,2010.0,0.0,0.0,0.41,0.0
AKB48+Me,Unknown,3DS,Action,2012.0,0.0,0.0,0.11,0.0
AMF Bowling 2004,Mud Duck Productions,XB,Sports,2003.0,0.22,0.06,0.0,0.01
AMF Bowling Pinbusters!,Bethesda Softworks,Wii,Sports,2007.0,0.84,0.0,0.0,0.07
AMF Bowling Pinbusters!,Vir2L Studios,DS,Sports,2008.0,0.06,0.0,0.0,0.0
AMF Bowling World Lanes,Bethesda Softworks,Wii,Sports,2008.0,0.33,0.0,0.0,0.03
AMF Xtreme Bowling,Mastertronic,PS2,Sports,2006.0,0.01,0.01,0.0,0.0
AMNESIA World,Idea Factory,PSV,Adventure,2014.0,0.0,0.0,0.03,0.0
APB Reloaded,Iceberg Interactive,PC,Role-Playing,2011.0,0.02,0.01,0.0,0.0
ASH: Archaic Sealed Heat,Nintendo,DS,Role-Playing,2007.0,0.0,0.0,0.12,0.0
ATV Offroad Fury,Sony Computer Entertainment,PS2,Racing,2001.0,2.07,0.26,0.0,0.08
ATV Offroad Fury 2,THQ,PS2,Racing,2002.0,1.92,0.2,0.0,0.06
ATV Offroad Fury 3,SouthPeak Games,PS2,Racing,2004.0,1.0,0.04,0.0,0.16
ATV Offroad Fury Pro,Sony Computer Entertainment,PSP,Racing,2006.0,0.37,0.03,0.0,0.04
ATV Offroad Fury: Blazin' Trails,SouthPeak Games,PSP,Racing,2005.0,0.53,0.0,0.0,0.04
ATV Quad Kings,Storm City Games,DS,Racing,2010.0,0.1,0.0,0.0,0.01
ATV Quad Kings,Zoo Digital Publishing,Wii,Racing,2009.0,0.2,0.0,0.0,0.01
ATV Quad Power Racing 2,Acclaim Entertainment,GC,Racing,2003.0,0.22,0.06,0.0,0.01
ATV Quad Power Racing 2,Acclaim Entertainment,PS2,Racing,2003.0,0.41,0.32,0.0,0.11
ATV Quad Power Racing 2,Acclaim Entertainment,XB,Racing,2003.0,0.36,0.07,0.0,0.01
ATV/Monster Truck Mayhem,"Destination Software, Inc",DS,Racing,2007.0,0.33,0.0,0.0,0.02
ATV: Quad Frenzy,Majesco Entertainment,DS,Racing,2005.0,0.1,0.0,0.0,0.01
ATV: Quad Power Racing,Acclaim Entertainment,PS,Racing,2000.0,0.58,0.39,0.0,0.07
ATV: Quad Power Racing,Liquid Games,GBA,Racing,2002.0,0.18,0.07,0.0,0.0
Aa Megami-samaa,Marvelous Interactive,PS2,Adventure,2007.0,0.0,0.0,0.01,0.0
Abunai: Koi no Sousa Shitsu,Asgard,PSV,Action,2015.0,0.0,0.0,0.02,0.0
Abunai: Koi no Sousa Shitsu,Quinrose,PSP,Action,2012.0,0.0,0.0,0.01,0.0
Academy of Champions: Soccer,Ubisoft,Wii,Sports,2009.0,0.09,0.02,0.0,0.01
Accel World: Ginyoku no Kakusei,Namco Bandai Games,PS3,Adventure,2012.0,0.0,0.0,0.03,0.0
Accel World: Ginyoku no Kakusei,Namco Bandai Games,PSP,Adventure,2012.0,0.0,0.0,0.03,0.0
Accel World: Kasoku no Chouten,Namco Bandai Games,PS3,Adventure,2013.0,0.0,0.0,0.02,0.0
Accel World: Kasoku no Chouten,Namco Bandai Games,PSP,Adventure,2013.0,0.0,0.0,0.01,0.0
Ace Attorney 6,Capcom,3DS,Adventure,2016.0,0.0,0.0,0.27,0.0
Ace Attorney Investigations 2,Capcom,DS,Adventure,2011.0,0.0,0.0,0.26,0.0
Ace Attorney Investigations: Miles Edgeworth,Capcom,DS,Adventure,2009.0,0.23,0.14,0.3,0.04
Ace Combat 04: Shattered Skies,Sony Computer Entertainment Europe,PS2,Simulation,2001.0,2.06,0.56,0.38,0.17
Ace Combat 2,Sony Computer Entertainment,PS,Simulation,1997.0,0.16,0.11,0.56,0.06
Ace Combat 3: Electrosphere,Sony Computer Entertainment,PS,Simulation,1999.0,0.22,0.15,0.4,0.05
Ace Combat 5: The Unsung War,Sony Computer Entertainment Europe,PS2,Simulation,2004.0,0.88,0.34,0.32,0.18
Ace Combat 6: Fires of Liberation,Atari,X360,Simulation,2007.0,0.69,0.04,0.22,0.06
Ace Combat X: Skies of Deception,Namco Bandai Games,PSP,Simulation,2006.0,0.37,0.3,0.12,0.19
Ace Combat Zero: The Belkan War,Namco Bandai Games,PS2,Simulation,2006.0,0.15,0.12,0.2,0.04
Ace Combat: Assault Horizon,Namco Bandai Games,PS3,Action,2011.0,0.3,0.15,0.22,0.07
Ace Combat: Assault Horizon,Namco Bandai Games,X360,Action,2011.0,0.3,0.12,0.03,0.04
Ace Combat: Assault Horizon Legacy,Namco Bandai Games,3DS,Simulation,2011.0,0.1,0.06,0.08,0.01
Ace Combat: Joint Assault,Namco Bandai Games,PSP,Simulation,2010.0,0.06,0.05,0.15,0.03
Achtung Panzer: Kharkov 1943,Mamba Games,PC,Strategy,2010.0,0.0,0.01,0.0,0.0
Act of Aggression,Focus Home Interactive,PC,Strategy,2015.0,0.0,0.01,0.0,0.0
Action Bass,Take-Two Interactive,PS,Action,2000.0,0.64,0.43,0.0,0.07
Action Force,CPG Products,2600,Action,1982.0,0.5,0.03,0.0,0.01
Active Health with Carol Vorderman,Nintendo,DS,Sports,2009.0,0.0,0.18,0.0,0.01
Active Life Explorer,Namco Bandai Games,Wii,Sports,2010.0,0.13,0.0,0.0,0.01
Active Life: Extreme Challenge,Namco Bandai Games,Wii,Sports,2009.0,0.14,0.27,0.0,0.06
Active Life: Magical Carnival,Namco Bandai Games,Wii,Misc,2011.0,0.03,0.01,0.0,0.0
Active Life: Outdoor Challenge,Atari,Wii,Sports,2008.0,0.78,0.43,0.19,0.14
Activision Anthology,Activision,GBA,Misc,2003.0,0.03,0.01,0.0,0.0
Activision Anthology,Activision,PS2,Misc,2002.0,0.25,0.19,0.0,0.06
Activision Hits: Remixed,Activision,PSP,Misc,2006.0,0.05,0.0,0.0,0.0
Actua Tennis,Gremlin Interactive Ltd,PS,Sports,1997.0,0.07,0.05,0.0,0.01
Adidas Power Soccer,Psygnosis,PS,Sports,1996.0,0.02,0.01,0.0,0.0
Adidas Power Soccer 98,Psygnosis,PS,Sports,1998.0,0.01,0.01,0.0,0.0
Adrenalin Misfits,Konami Digital Entertainment,X360,Racing,2010.0,0.12,0.02,0.0,0.01
Advance Guardian Heroes,Ubisoft,GBA,Role-Playing,2004.0,0.03,0.01,0.0,0.0
Advance Wars,Nintendo,GBA,Strategy,2001.0,0.5,0.19,0.0,0.01
Advance Wars 2: Black Hole Rising,Nintendo,GBA,Strategy,2003.0,0.47,0.17,0.0,0.01
Advance Wars: Dual Strike,Nintendo,DS,Strategy,2005.0,0.3,0.02,0.04,0.03
Advent Rising,THQ,XB,Action,2005.0,0.1,0.03,0.0,0.0
Adventure Island,Hudson Soft,NES,Platform,1986.0,0.0,0.0,1.05,0.0
Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,3DS,Action,2013.0,0.1,0.03,0.0,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,PS3,Action,2013.0,0.02,0.01,0.0,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,WiiU,Action,2013.0,0.02,0.01,0.0,0.0
Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,X360,Action,2013.0,0.03,0.04,0.0,0.01
Adventure Time: Finn & Jake Investigations,Little Orbit,3DS,Action,2015.0,0.03,0.05,0.0,0.01
Adventure Time: Finn & Jake Investigations,Little Orbit,PS3,Action,2015.0,0.02,0.05,0.0,0.01
Adventure Time: Finn & Jake Investigations,Little Orbit,PS4,Action,2015.0,0.03,0.05,0.0,0.02
Adventure Time: Finn & Jake Investigations,Little Orbit,WiiU,Action,2015.0,0.03,0.02,0.0,0.0
Adventure Time: Finn & Jake Investigations,Little Orbit,X360,Action,2015.0,0.03,0.05,0.0,0.01
Adventure Time: Finn & Jake Investigations,Little Orbit,XOne,Action,2015.0,0.03,0.02,0.0,0.0
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,3DS,Action,2014.0,0.0,0.07,0.0,0.0
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,X360,Action,2014.0,0.0,0.05,0.0,0.0
Adventures of Lolo,HAL Laboratory,NES,Puzzle,1989.0,0.06,0.0,0.0,0.0
Adventures of Tron,Mattel Interactive,2600,Action,1981.0,0.63,0.03,0.0,0.01
Adventures to Go!,Zushi Games,PSP,Role-Playing,2008.0,0.11,0.0,0.01,0.02
Aedis Eclipse: Generation of Chaos,Idea Factory,PSP,Role-Playing,2006.0,0.02,0.0,0.0,0.0
Aegis of Earth: Protonovus Assault,PQube,PS3,Action,2016.0,0.01,0.01,0.0,0.0
Aegis of Earth: Protonovus Assault,PQube,PS4,Action,2016.0,0.02,0.0,0.0,0.0
Aegis of Earth: Protonovus Assault,PQube,PSV,Action,2016.0,0.01,0.01,0.0,0.01
Aeon Flux,THQ,PS2,Action,2005.0,0.02,0.02,0.0,0.01
Aeon Flux,THQ,XB,Action,2005.0,0.01,0.0,0.0,0.0
Aero Elite: Combat Academy,Sega,PS2,Simulation,2002.0,0.04,0.03,0.0,0.01
Aero Gauge,ASCII Entertainment,N64,Racing,1997.0,0.06,0.01,0.0,0.0
AeroFighters Assault,Video System,N64,Action,1997.0,0.15,0.04,0.0,0.0
Afrika,Unknown,PS3,Adventure,2008.0,0.12,0.0,0.08,0.01
Afro Samurai,Atari,PS3,Action,2009.0,0.12,0.05,0.0,0.03
Afro Samurai,Atari,X360,Action,2009.0,0.16,0.05,0.0,0.02
After Hours Athletes,Sony Computer Entertainment,PS3,Sports,2011.0,0.0,0.1,0.0,0.02
Again,Ackkstudios,DS,Adventure,2009.0,0.07,0.0,0.0,0.0
Agassi Tennis Generation,DreamCatcher Interactive,PS2,Sports,2003.0,0.04,0.03,0.0,0.01
Agatha Christie's The ABC Murders,Microids,PS4,Adventure,2016.0,0.01,0.01,0.0,0.0
Agatha Christie: And Then There Were None,The Adventure Company,Wii,Adventure,2008.0,0.06,0.01,0.0,0.01
Agatha Christie: Death on the Nile,Big Fish Games,PC,Adventure,2008.0,0.0,0.01,0.0,0.0
Agatha Christie: Evil Under the Sun,The Adventure Company,Wii,Adventure,2008.0,0.06,0.01,0.0,0.01
Agatha Christie: Peril at End House,JoWood Productions,PC,Adventure,2009.0,0.0,0.01,0.0,0.0
Agatha Christie: The ABC Murders,JoWood Productions,DS,Adventure,2009.0,0.08,0.01,0.0,0.01
Agatha Christie: The ABC Murders,Microids,PC,Adventure,2016.0,0.0,0.02,0.0,0.0
Age of Conan: Rise of the Godslayer,Funcom,PC,Role-Playing,2010.0,0.0,0.02,0.0,0.0
Age of Empires II: The Age of Kings,Microsoft Game Studios,PC,Strategy,1999.0,0.01,0.08,0.0,0.01
Age of Empires III,Microsoft Game Studios,PC,Strategy,2005.0,0.0,0.33,0.0,0.05
Age of Empires III: Complete Collection,Microsoft Game Studios,PC,Strategy,2009.0,0.01,0.12,0.0,0.03
Age of Empires III: Gold Edition,Microsoft Game Studios,PC,Strategy,2007.0,0.0,0.02,0.0,0.0
Age of Empires III: The Asian Dynasties,Microsoft Game Studios,PC,Strategy,2007.0,0.0,0.05,0.0,0.01
Age of Empires Online,Microsoft Game Studios,PC,Strategy,2011.0,0.01,0.04,0.0,0.01
Age of Empires: Collector's Edition,Ubisoft,PC,Strategy,2000.0,0.02,0.1,0.0,0.02
Age of Empires: Mythologies,THQ,DS,Strategy,2008.0,0.16,0.03,0.0,0.02
Age of Empires: The Age of Kings,THQ,DS,Strategy,2006.0,0.18,0.02,0.0,0.02
Age of Mythology,Microsoft Game Studios,PC,Strategy,2002.0,0.02,0.06,0.0,0.01
Age of Mythology: The Titans,Microsoft Game Studios,PC,Strategy,2003.0,0.02,0.02,0.0,0.0
Aggressive Inline,Acclaim Entertainment,GC,Sports,2002.0,0.04,0.01,0.0,0.0
Aggressive Inline,Acclaim Entertainment,PS2,Sports,2002.0,0.17,0.13,0.0,0.04
Aggressive Inline,Acclaim Entertainment,XB,Sports,2002.0,0.05,0.01,0.0,0.0
Agile Warrior F-111X,Virgin Interactive,PS,Simulation,1995.0,0.08,0.05,0.0,0.01
Aibou DS,Tecmo Koei,DS,Adventure,2009.0,0.0,0.0,0.08,0.0
Aidyn Chronicles: The First Mage,THQ,N64,Role-Playing,2001.0,0.08,0.02,0.0,0.0
Aikatsu! 2-nin no My Princess,Namco Bandai Games,3DS,Action,2013.0,0.0,0.0,0.26,0.0
Aikatsu! 365 Idol Days,Namco Bandai Games,3DS,Adventure,2014.0,0.0,0.0,0.13,0.0
