Name,Platform,Publisher,Genre,Release_Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Ace Combat: Assault Horizon,PS3,Namco Bandai Games,Action,2011.0,0.3,0.16,0.22,0.07
Ace Combat: Assault Horizon,PS3,Namco Bandai Games,Action,2011.0,0.3,0.16,0.22,0.07
Ace Combat: Assault Horizon Legacy,3DS,Namco Bandai Games,Simulation,2011.0,0.1,0.06,0.08,0.01
Ace Combat: Assault Horizon Legacy,3DS,Namco Bandai Games,Simulation,2011.0,0.1,0.06,0.08,0.01
Ace Combat: Joint Assault,PSP,Namco Bandai Games,Simulation,2010.0,0.06,0.05,0.15,0.03
Ace Combat: Joint Assault,PSP,Namco Bandai Games,Simulation,2010.0,0.06,0.05,0.15,0.03
Advance Wars: Dual Strike,DS,Nintendo,Strategy,2005.0,0.3,0.03,0.04,0.03
Advance Wars: Dual Strike,DS,Nintendo,Strategy,2005.0,0.3,0.03,0.04,0.03
Afrika,PS3,Unknown,Adventure,2008.0,0.12,0.0,0.08,0.01
Afrika,PS3,Unknown,Adventure,2008.0,0.12,0.0,0.08,0.01
Akiba's Trip: Undead & Undressed,PS3,Nippon Ichi Software,Action,2013.0,0.05,0.01,0.04,0.01
Akiba's Trip: Undead & Undressed,PS3,Nippon Ichi Software,Action,2013.0,0.05,0.01,0.04,0.01
Akiba's Trip: Undead & Undressed,PSV,Nippon Ichi Software,Action,2013.0,0.09,0.02,0.08,0.03
Akiba's Trip: Undead & Undressed,PSV,Nippon Ichi Software,Action,2013.0,0.09,0.02,0.08,0.03
Alan Wake,X360,Microsoft Game Studios,Action,2010.0,0.66,0.51,0.05,0.13
Alan Wake,X360,Microsoft Game Studios,Action,2010.0,0.66,0.51,0.05,0.13
Alice: Madness Returns,X360,Electronic Arts,Adventure,2011.0,0.27,0.15,0.04,0.04
Alice: Madness Returns,X360,Electronic Arts,Adventure,2011.0,0.27,0.15,0.04,0.04
Alice: Madness Returns,PS3,Electronic Arts,Adventure,2011.0,0.22,0.25,0.04,0.09
Alice: Madness Returns,PS3,Electronic Arts,Adventure,2011.0,0.22,0.25,0.04,0.09
Alien Trilogy,PS,Acclaim Entertainment,Shooter,1996.0,0.24,0.16,0.04,0.03
Alien Trilogy,PS,Acclaim Entertainment,Shooter,1996.0,0.24,0.16,0.04,0.03
Alien: Isolation,PS4,Sega,Shooter,2014.0,0.34,0.56,0.04,0.19
Alien: Isolation,PS4,Sega,Shooter,2014.0,0.34,0.56,0.04,0.19
Alone in the Dark,X360,Atari,Adventure,2008.0,0.14,0.3,0.0,0.05
Alone in the Dark,X360,Atari,Adventure,2008.0,0.14,0.3,0.0,0.05
Anarchy Reigns,PS3,Sega,Action,2012.0,0.1,0.03,0.06,0.02
Anarchy Reigns,PS3,Sega,Action,2012.0,0.1,0.03,0.06,0.02
Anarchy Reigns,X360,Sega,Action,2012.0,0.11,0.02,0.02,0.01
Anarchy Reigns,X360,Sega,Action,2012.0,0.11,0.02,0.02,0.01
Animal Crossing: Amiibo Festival,WiiU,Nintendo,Misc,2015.0,0.19,0.11,0.09,0.03
Animal Crossing: Amiibo Festival,WiiU,Nintendo,Misc,2015.0,0.19,0.11,0.09,0.03
Ape Escape,PS,Sony Computer Entertainment,Platform,1999.0,0.71,0.48,0.32,0.11
Ape Escape,PS,Sony Computer Entertainment,Platform,1999.0,0.71,0.48,0.32,0.11
Ape Escape 2,PS2,Sony Computer Entertainment,Platform,2002.0,0.12,0.09,0.38,0.03
Ape Escape 2,PS2,Sony Computer Entertainment,Platform,2002.0,0.12,0.09,0.38,0.03
Ape Escape: On the Loose,PSP,Sony Computer Entertainment,Platform,2005.0,0.52,0.01,0.12,0.05
Ape Escape: On the Loose,PSP,Sony Computer Entertainment,Platform,2005.0,0.52,0.01,0.12,0.05
Apollo Justice: Ace Attorney,DS,Capcom,Adventure,2007.0,0.32,0.06,0.64,0.04
Apollo Justice: Ace Attorney,DS,Capcom,Adventure,2007.0,0.32,0.06,0.64,0.04
Ar tonelico 2: Melody of Metafalica,PS2,Nippon Ichi Software,Role-Playing,2007.0,0.04,0.03,0.11,0.01
Ar tonelico 2: Melody of Metafalica,PS2,Nippon Ichi Software,Role-Playing,2007.0,0.04,0.03,0.11,0.01
Ar tonelico Qoga: Knell of Ar Ciel,PS3,Tecmo Koei,Role-Playing,2010.0,0.08,0.01,0.13,0.01
Ar tonelico Qoga: Knell of Ar Ciel,PS3,Tecmo Koei,Role-Playing,2010.0,0.08,0.01,0.13,0.01
Arcana Heart,PS2,AQ Interactive,Fighting,2007.0,0.06,0.05,0.04,0.02
Arcana Heart,PS2,AQ Interactive,Fighting,2007.0,0.06,0.05,0.04,0.02
Arcana Heart 3,PS3,PQube,Fighting,2011.0,0.04,0.05,0.1,0.02
Arcana Heart 3,PS3,PQube,Fighting,2011.0,0.04,0.05,0.1,0.02
Arcania: Gothic 4,X360,JoWood Productions,Role-Playing,2010.0,0.03,0.04,0.01,0.01
Arcania: Gothic 4,X360,JoWood Productions,Role-Playing,2010.0,0.03,0.04,0.01,0.01
Armored Core,PS,Sony Computer Entertainment,Simulation,1997.0,0.13,0.09,0.16,0.03
Armored Core,PS,Sony Computer Entertainment,Simulation,1997.0,0.13,0.09,0.16,0.03
Armored Core 2,PS2,Ubisoft,Simulation,2000.0,0.28,0.22,0.23,0.07
Armored Core 2,PS2,Ubisoft,Simulation,2000.0,0.28,0.22,0.23,0.07
Armored Core 2: Another Age,PS2,Metro 3D,Simulation,2001.0,0.11,0.08,0.19,0.03
Armored Core 2: Another Age,PS2,Metro 3D,Simulation,2001.0,0.11,0.08,0.19,0.03
Armored Core 3,PS2,Metro 3D,Simulation,2002.0,0.22,0.17,0.23,0.06
Armored Core 3,PS2,Metro 3D,Simulation,2002.0,0.22,0.17,0.23,0.06
Armored Core 4,X360,505 Games,Simulation,2007.0,0.19,0.01,0.03,0.02
Armored Core 4,X360,505 Games,Simulation,2007.0,0.19,0.01,0.03,0.02
Armored Core 4,PS3,505 Games,Simulation,2006.0,0.09,0.0,0.09,0.01
Armored Core 4,PS3,505 Games,Simulation,2006.0,0.09,0.0,0.09,0.01
Armored Core V,PS3,Namco Bandai Games,Simulation,2012.0,0.09,0.04,0.24,0.02
Armored Core V,PS3,Namco Bandai Games,Simulation,2012.0,0.09,0.04,0.24,0.02
Armored Core V,X360,Namco Bandai Games,Simulation,2012.0,0.13,0.03,0.04,0.01
Armored Core V,X360,Namco Bandai Games,Simulation,2012.0,0.13,0.03,0.04,0.01
Armored Core: For Answer,PS3,Ubisoft,Simulation,2008.0,0.06,0.02,0.1,0.01
Armored Core: For Answer,PS3,Ubisoft,Simulation,2008.0,0.06,0.02,0.1,0.01
Armored Core: For Answer,X360,Ubisoft,Simulation,2008.0,0.06,0.01,0.07,0.01
Armored Core: For Answer,X360,Ubisoft,Simulation,2008.0,0.06,0.01,0.07,0.01
Armored Core: Last Raven,PS2,505 Games,Simulation,2005.0,0.05,0.04,0.08,0.01
Armored Core: Last Raven,PS2,505 Games,Simulation,2005.0,0.05,0.04,0.08,0.01
Armored Core: Master of Arena,PS,From Software,Simulation,1999.0,0.07,0.05,0.13,0.02
Armored Core: Master of Arena,PS,From Software,Simulation,1999.0,0.07,0.05,0.13,0.02
Armored Core: Nexus,PS2,Indie Games,Simulation,2004.0,0.06,0.05,0.14,0.02
Armored Core: Nexus,PS2,Indie Games,Simulation,2004.0,0.06,0.05,0.14,0.02
Armored Core: Project Phantasma,PS,From Software,Simulation,1997.0,0.06,0.04,0.15,0.02
Armored Core: Project Phantasma,PS,From Software,Simulation,1997.0,0.06,0.04,0.15,0.02
Armored Core: Silent Line,PS2,Agetec,Simulation,2003.0,0.07,0.06,0.16,0.02
Armored Core: Silent Line,PS2,Agetec,Simulation,2003.0,0.07,0.06,0.16,0.02
Army of Two,PS3,Electronic Arts,Shooter,2008.0,0.74,0.26,0.02,0.15
Army of Two,PS3,Electronic Arts,Shooter,2008.0,0.74,0.26,0.02,0.15
Army of Two,X360,Electronic Arts,Shooter,2008.0,1.09,0.38,0.02,0.16
Army of Two,X360,Electronic Arts,Shooter,2008.0,1.09,0.38,0.02,0.16
Army of Two: The 40th Day,X360,Electronic Arts,Shooter,2010.0,0.62,0.24,0.0,0.08
Army of Two: The 40th Day,X360,Electronic Arts,Shooter,2010.0,0.62,0.24,0.0,0.08
Army of Two: The 40th Day,PS3,Electronic Arts,Shooter,2010.0,0.44,0.27,0.01,0.12
Army of Two: The 40th Day,PS3,Electronic Arts,Shooter,2010.0,0.44,0.27,0.01,0.12
Army of Two: The Devil's Cartel,X360,Electronic Arts,Shooter,2013.0,0.16,0.07,0.0,0.02
Army of Two: The Devil's Cartel,X360,Electronic Arts,Shooter,2013.0,0.16,0.07,0.0,0.02
Army of Two: The Devil's Cartel,PS3,Electronic Arts,Shooter,2013.0,0.11,0.11,0.01,0.05
Army of Two: The Devil's Cartel,PS3,Electronic Arts,Shooter,2013.0,0.11,0.11,0.01,0.05
Arslan: The Warriors of Legend,PS4,Tecmo Koei,Action,2015.0,0.02,0.01,0.04,0.01
Arslan: The Warriors of Legend,PS4,Tecmo Koei,Action,2015.0,0.02,0.01,0.04,0.01
Asphalt 3D,3DS,Ubisoft,Racing,2011.0,0.27,0.16,0.02,0.04
Asphalt 3D,3DS,Ubisoft,Racing,2011.0,0.27,0.16,0.02,0.04
Assassin's Creed,PS3,Ubisoft,Adventure,2007.0,1.91,2.0,0.09,0.83
Assassin's Creed,PS3,Ubisoft,Adventure,2007.0,1.91,2.0,0.09,0.83
Assassin's Creed,X360,Ubisoft,Adventure,2007.0,3.28,1.65,0.07,0.55
Assassin's Creed,X360,Ubisoft,Adventure,2007.0,3.28,1.65,0.07,0.55
Assassin's Creed Chronicles,PS4,Ubisoft,Action,2016.0,0.01,0.05,0.01,0.01
Assassin's Creed Chronicles,PS4,Ubisoft,Action,2016.0,0.01,0.05,0.01,0.01
Assassin's Creed Chronicles,PSV,Ubisoft,Action,2016.0,0.02,0.06,0.01,0.02
Assassin's Creed Chronicles,PSV,Ubisoft,Action,2016.0,0.02,0.06,0.01,0.02
Assassin's Creed II,PS3,Ubisoft,Action,2009.0,2.54,1.95,0.21,0.87
Assassin's Creed II,PS3,Ubisoft,Action,2009.0,2.54,1.95,0.21,0.87
Assassin's Creed II,X360,Ubisoft,Action,2009.0,3.1,1.56,0.08,0.51
Assassin's Creed II,X360,Ubisoft,Action,2009.0,3.1,1.56,0.08,0.51
Assassin's Creed III,PS3,Ubisoft,Action,2012.0,2.64,2.56,0.16,1.14
Assassin's Creed III,PS3,Ubisoft,Action,2012.0,2.64,2.56,0.16,1.14
Assassin's Creed III,X360,Ubisoft,Action,2012.0,3.13,1.71,0.03,0.44
Assassin's Creed III,X360,Ubisoft,Action,2012.0,3.13,1.71,0.03,0.44
Assassin's Creed III: Liberation,PSV,Ubisoft,Action,2012.0,0.58,0.55,0.06,0.28
Assassin's Creed III: Liberation,PSV,Ubisoft,Action,2012.0,0.58,0.55,0.06,0.28
Assassin's Creed IV: Black Flag,PS4,Ubisoft,Action,2013.0,1.07,1.31,0.06,0.31
Assassin's Creed IV: Black Flag,PS4,Ubisoft,Action,2013.0,1.07,1.31,0.06,0.31
Assassin's Creed IV: Black Flag,X360,Ubisoft,Action,2013.0,1.9,1.14,0.01,0.29
Assassin's Creed IV: Black Flag,X360,Ubisoft,Action,2013.0,1.9,1.14,0.01,0.29
Assassin's Creed IV: Black Flag,PS3,Ubisoft,Action,2013.0,1.33,1.71,0.13,0.73
Assassin's Creed IV: Black Flag,PS3,Ubisoft,Action,2013.0,1.33,1.71,0.13,0.73
Assassin's Creed Syndicate,PS4,Ubisoft,Action,2015.0,0.8,1.92,0.06,0.5
Assassin's Creed Syndicate,PS4,Ubisoft,Action,2015.0,0.8,1.92,0.06,0.5
Assassin's Creed: Bloodlines,PSP,Ubisoft,Action,2009.0,0.43,0.48,0.05,0.28
Assassin's Creed: Bloodlines,PSP,Ubisoft,Action,2009.0,0.43,0.48,0.05,0.28
Assassin's Creed: Brotherhood,X360,Ubisoft,Action,2010.0,2.84,0.39,0.03,0.24
Assassin's Creed: Brotherhood,X360,Ubisoft,Action,2010.0,2.84,0.39,0.03,0.24
Assassin's Creed: Brotherhood,PS3,Ubisoft,Action,2010.0,1.87,0.57,0.11,0.3
Assassin's Creed: Brotherhood,PS3,Ubisoft,Action,2010.0,1.87,0.57,0.11,0.3
Assassin's Creed: Revelations,PS3,Ubisoft,Action,2011.0,1.41,2.02,0.1,0.72
Assassin's Creed: Revelations,PS3,Ubisoft,Action,2011.0,1.41,2.02,0.1,0.72
Assassin's Creed: Revelations,X360,Ubisoft,Action,2011.0,2.25,1.47,0.04,0.43
Assassin's Creed: Revelations,X360,Ubisoft,Action,2011.0,2.25,1.47,0.04,0.43
Assassin's Creed: Rogue,PS3,Ubisoft,Action,2014.0,0.46,0.62,0.06,0.23
Assassin's Creed: Rogue,PS3,Ubisoft,Action,2014.0,0.46,0.62,0.06,0.23
Assassin's Creed: Unity,XOne,Ubisoft,Action,2014.0,2.26,0.89,0.0,0.3
Assassin's Creed: Unity,XOne,Ubisoft,Action,2014.0,2.26,0.89,0.0,0.3
Assassin's Creed: Unity,PS4,Ubisoft,Action,2014.0,1.18,1.96,0.08,0.7
Assassin's Creed: Unity,PS4,Ubisoft,Action,2014.0,1.18,1.96,0.08,0.7
Asura's Wrath,X360,Capcom,Action,2012.0,0.15,0.06,0.01,0.02
Asura's Wrath,X360,Capcom,Action,2012.0,0.15,0.06,0.01,0.02
Asura's Wrath,PS3,Capcom,Action,2012.0,0.18,0.12,0.06,0.05
Asura's Wrath,PS3,Capcom,Action,2012.0,0.18,0.12,0.06,0.05
Atelier Meruru: Alchemist of Arland 3,PS3,Nippon Ichi Software,Role-Playing,2011.0,0.05,0.0,0.18,0.01
Atelier Meruru: Alchemist of Arland 3,PS3,Nippon Ichi Software,Role-Playing,2011.0,0.05,0.0,0.18,0.01
Atelier Rorona: Alchemist of Arland,PS3,Nippon Ichi Software,Role-Playing,2009.0,0.22,0.12,0.11,0.05
Atelier Rorona: Alchemist of Arland,PS3,Nippon Ichi Software,Role-Playing,2009.0,0.22,0.12,0.11,0.05
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Tecmo Koei,Role-Playing,2015.0,0.01,0.02,0.06,0.01
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Tecmo Koei,Role-Playing,2015.0,0.01,0.02,0.06,0.01
Atelier Totori: The Adventurer of Arland,PS3,Nippon Ichi Software,Role-Playing,2010.0,0.12,0.07,0.21,0.03
Atelier Totori: The Adventurer of Arland,PS3,Nippon Ichi Software,Role-Playing,2010.0,0.12,0.07,0.21,0.03
Avalon Code,DS,Rising Star Games,Role-Playing,2008.0,0.11,0.0,0.12,0.01
Avalon Code,DS,Rising Star Games,Role-Playing,2008.0,0.11,0.0,0.12,0.01
Bakugan Battle Brawlers: Defenders of the Core,DS,Activision,Action,2010.0,0.42,0.02,0.02,0.03
Bakugan Battle Brawlers: Defenders of the Core,DS,Activision,Action,2010.0,0.42,0.02,0.02,0.03
Balloon Fight,NES,Nintendo,Platform,1985.0,0.39,0.09,0.43,0.01
Balloon Fight,NES,Nintendo,Platform,1985.0,0.39,0.09,0.43,0.01
Banjo-Kazooie: Nuts & Bolts,X360,Microsoft Game Studios,Platform,2008.0,0.32,0.36,0.0,0.09
Banjo-Kazooie: Nuts & Bolts,X360,Microsoft Game Studios,Platform,2008.0,0.32,0.36,0.0,0.09
Baroque,Wii,Rising Star Games,Role-Playing,2008.0,0.07,0.0,0.0,0.0
Baroque,Wii,Rising Star Games,Role-Playing,2008.0,0.07,0.0,0.0,0.0
Baroque,PS2,Rising Star Games,Role-Playing,2007.0,0.05,0.04,0.02,0.01
Baroque,PS2,Rising Star Games,Role-Playing,2007.0,0.05,0.04,0.02,0.01
Bass Landing,PS,ASCII Entertainment,Sports,1999.0,0.21,0.14,0.23,0.04
Bass Landing,PS,ASCII Entertainment,Sports,1999.0,0.21,0.14,0.23,0.04
Baten Kaitos Origins,GC,Unknown,Role-Playing,2006.0,0.06,0.02,0.02,0.0
Baten Kaitos Origins,GC,Unknown,Role-Playing,2006.0,0.06,0.02,0.02,0.0
Batman: Arkham Asylum,PS3,Eidos Interactive,Action,2009.0,2.23,1.34,0.07,0.61
Batman: Arkham Asylum,PS3,Eidos Interactive,Action,2009.0,2.23,1.34,0.07,0.61
Batman: Arkham Asylum,X360,Eidos Interactive,Action,2009.0,2.2,0.97,0.02,0.31
Batman: Arkham Asylum,X360,Eidos Interactive,Action,2009.0,2.2,0.97,0.02,0.31
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,Action,2011.0,2.7,1.91,0.11,0.8
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,Action,2011.0,2.7,1.91,0.11,0.8
Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,Action,2011.0,2.99,1.31,0.04,0.41
Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,Action,2011.0,2.99,1.31,0.04,0.41
Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment,Action,2015.0,1.49,1.58,0.1,0.61
Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment,Action,2015.0,1.49,1.58,0.1,0.61
Batman: Arkham Origins,X360,Warner Bros. Interactive Entertainment,Action,2013.0,1.15,0.61,0.0,0.17
Batman: Arkham Origins,X360,Warner Bros. Interactive Entertainment,Action,2013.0,1.15,0.61,0.0,0.17
Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,Action,2013.0,1.07,0.87,0.04,0.4
Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,Action,2013.0,1.07,0.87,0.04,0.4
Batman: Arkham Origins,WiiU,Warner Bros. Interactive Entertainment,Action,2013.0,0.2,0.09,0.0,0.03
Batman: Arkham Origins,WiiU,Warner Bros. Interactive Entertainment,Action,2013.0,0.2,0.09,0.0,0.03
Battalion Wars,GC,Nintendo,Strategy,2005.0,0.25,0.07,0.07,0.01
Battalion Wars,GC,Nintendo,Strategy,2005.0,0.25,0.07,0.07,0.01
Battalion Wars 2,Wii,Nintendo,Strategy,2007.0,0.22,0.03,0.08,0.02
Battalion Wars 2,Wii,Nintendo,Strategy,2007.0,0.22,0.03,0.08,0.02
Battle Arena Toshinden,PS,Sony Computer Entertainment,Fighting,1994.0,0.39,0.26,0.53,0.08
Battle Arena Toshinden,PS,Sony Computer Entertainment,Fighting,1994.0,0.39,0.26,0.53,0.08
Battle Arena Toshinden 2,PS,Sony Computer Entertainment,Fighting,1995.0,0.15,0.1,0.41,0.05
Battle Arena Toshinden 2,PS,Sony Computer Entertainment,Fighting,1995.0,0.15,0.1,0.41,0.05
Battle Arena Toshinden 3,PS,Sony Computer Entertainment,Fighting,1996.0,0.06,0.04,0.14,0.02
Battle Arena Toshinden 3,PS,Sony Computer Entertainment,Fighting,1996.0,0.06,0.04,0.14,0.02
Battle Fantasia,X360,505 Games,Fighting,2008.0,0.07,0.0,0.01,0.01
Battle Fantasia,X360,505 Games,Fighting,2008.0,0.07,0.0,0.01,0.01
Battleborn,PS4,Take-Two Interactive,Shooter,2016.0,0.09,0.08,0.01,0.04
Battleborn,PS4,Take-Two Interactive,Shooter,2016.0,0.09,0.08,0.01,0.04
Battlefield 2: Modern Combat,X360,Electronic Arts,Shooter,2006.0,0.35,0.02,0.01,0.03
Battlefield 2: Modern Combat,X360,Electronic Arts,Shooter,2006.0,0.35,0.02,0.01,0.03
Battlefield 3,PS3,Electronic Arts,Shooter,2011.0,2.85,2.93,0.35,1.1
Battlefield 3,PS3,Electronic Arts,Shooter,2011.0,2.85,2.93,0.35,1.1
Battlefield 3,X360,Electronic Arts,Shooter,2011.0,4.46,2.13,0.06,0.69
Battlefield 3,X360,Electronic Arts,Shooter,2011.0,4.46,2.13,0.06,0.69
Battlefield 4,PS4,Electronic Arts,Shooter,2013.0,1.34,1.54,0.17,0.38
Battlefield 4,PS4,Electronic Arts,Shooter,2013.0,1.34,1.54,0.17,0.38
Battlefield 4,X360,Electronic Arts,Shooter,2013.0,2.14,1.08,0.02,0.29
Battlefield 4,X360,Electronic Arts,Shooter,2013.0,2.14,1.08,0.02,0.29
Battlefield 4,PS3,Electronic Arts,Shooter,2013.0,1.3,1.51,0.27,0.61
Battlefield 4,PS3,Electronic Arts,Shooter,2013.0,1.3,1.51,0.27,0.61
Battlefield: Bad Company,PS3,Electronic Arts,Shooter,2008.0,0.76,0.36,0.05,0.18
Battlefield: Bad Company,PS3,Electronic Arts,Shooter,2008.0,0.76,0.36,0.05,0.18
Battlefield: Bad Company,X360,Electronic Arts,Shooter,2008.0,0.81,0.46,0.04,0.15
Battlefield: Bad Company,X360,Electronic Arts,Shooter,2008.0,0.81,0.46,0.04,0.15
Battlefield: Bad Company 2,X360,Electronic Arts,Shooter,2010.0,2.09,1.02,0.04,0.32
Battlefield: Bad Company 2,X360,Electronic Arts,Shooter,2010.0,2.09,1.02,0.04,0.32
Battlefield: Bad Company 2,PS3,Electronic Arts,Shooter,2010.0,1.33,1.12,0.08,0.45
Battlefield: Bad Company 2,PS3,Electronic Arts,Shooter,2010.0,1.33,1.12,0.08,0.45
Battlefield: Hardline,XOne,Electronic Arts,Shooter,2015.0,0.72,0.37,0.01,0.11
Battlefield: Hardline,XOne,Electronic Arts,Shooter,2015.0,0.72,0.37,0.01,0.11
Battlefield: Hardline,PS3,Electronic Arts,Shooter,2015.0,0.12,0.23,0.07,0.07
Battlefield: Hardline,PS3,Electronic Arts,Shooter,2015.0,0.12,0.23,0.07,0.07
Battlefield: Hardline,PS4,Electronic Arts,Shooter,2015.0,0.7,0.93,0.14,0.32
Battlefield: Hardline,PS4,Electronic Arts,Shooter,2015.0,0.7,0.93,0.14,0.32
Battlestations: Midway,X360,Eidos Interactive,Strategy,2007.0,0.21,0.02,0.0,0.02
Battlestations: Midway,X360,Eidos Interactive,Strategy,2007.0,0.21,0.02,0.0,0.02
Battlestations: Pacific,X360,Eidos Interactive,Strategy,2009.0,0.17,0.12,0.01,0.03
Battlestations: Pacific,X360,Eidos Interactive,Strategy,2009.0,0.17,0.12,0.01,0.03
Bayonetta,X360,Sega,Action,2009.0,0.51,0.26,0.09,0.08
Bayonetta,X360,Sega,Action,2009.0,0.51,0.26,0.09,0.08
Bayonetta,PS3,Sega,Action,2009.0,0.44,0.41,0.21,0.17
Bayonetta,PS3,Sega,Action,2009.0,0.44,0.41,0.21,0.17
Beat Down: Fists of Vengeance,PS2,Capcom,Action,2005.0,0.04,0.03,0.09,0.01
Beat Down: Fists of Vengeance,PS2,Capcom,Action,2005.0,0.04,0.03,0.09,0.01
Beautiful Katamari,X360,Namco Bandai Games,Puzzle,2007.0,0.14,0.02,0.15,0.02
Beautiful Katamari,X360,Namco Bandai Games,Puzzle,2007.0,0.14,0.02,0.15,0.02
Beijing 2008,PS3,Sega,Sports,2008.0,0.14,0.54,0.01,0.18
Beijing 2008,PS3,Sega,Sports,2008.0,0.14,0.54,0.01,0.18
Beyblade: Metal Fusion,DS,Hudson Soft,Role-Playing,2009.0,0.08,0.03,0.14,0.01
Beyblade: Metal Fusion,DS,Hudson Soft,Role-Playing,2009.0,0.08,0.03,0.14,0.01
Beyond The Beyond,PS,Sony Computer Entertainment,Role-Playing,1995.0,0.11,0.08,0.35,0.04
Beyond The Beyond,PS,Sony Computer Entertainment,Role-Playing,1995.0,0.11,0.08,0.35,0.04
Binary Domain,X360,Sega,Action,2012.0,0.09,0.07,0.02,0.02
